"complaint,category,date,priority"
"I was charged twice for my monthly subscription of $49.99, please refund the duplicate charge immediately,Billing,2026-01-15,High"
"The mobile app crashes every time I try to upload a profile picture,Technical,2026-01-14,Medium"
"My package was supposed to arrive 3 days ago but tracking shows it's still stuck in transit,Shipping,2026-01-13,High"
"Customer support put me on hold for 45 minutes and then disconnected the call,Customer Service,2026-01-12,High"
"The wireless headphones stopped working after only 2 days of use,Product Quality,2026-01-11,Medium"
"I cannot log into my account and the password reset email never arrives,Account,2026-01-10,High"
"The product quality is terrible - the stitching came apart after first wash,Product Quality,2026-01-09,Medium"
"Why was I charged a $50 late fee? I paid my bill on time last week,Billing,2026-01-08,High"
"The website keeps timing out when I try to checkout my shopping cart,Technical,2026-01-07,Medium"
"Driver delivered my package to the wrong address even though I provided correct one,Shipping,2026-01-06,High"
"The customer service agent was extremely rude and refused to help me,Customer Service,2026-01-05,High"
"My subscription was cancelled but I'm still getting charged every month,Billing,2026-01-04,High"
"The app freezes whenever I try to view my order history,Technical,2026-01-03,Medium"
"I received a damaged product with broken screen and scratched body,Product Quality,2026-01-02,High"
"Two-factor authentication codes are not being sent to my phone,Account,2026-01-01,High"
"My expedited shipping order arrived 5 days late and I missed the event,Shipping,2025-12-31,High"
"The live chat support took 30 minutes to respond and then gave wrong information,Customer Service,2025-12-30,Medium"
"I returned an item 2 weeks ago but still haven't received my refund,Billing,2025-12-29,High"
"The software update broke compatibility with my operating system,Technical,2025-12-28,Medium"
"My account was hacked and unauthorized purchases were made,Account,2025-12-27,High"
"The product manual is confusing and missing important instructions,Product Quality,2025-12-26,Low"
"I'm being charged for a plan I never signed up for or authorized,Billing,2025-12-25,High"
"The search function on your website doesn't work properly,Technical,2025-12-24,Low"
"My neighbor received my package and opened it before giving it to me,Shipping,2025-12-23,Medium"
"I've emailed support 3 times with no response in over a week,Customer Service,2025-12-22,High"
"The battery life is significantly lower than advertised,Product Quality,2025-12-21,Medium"
"Cannot update my email address or change account settings,Account,2025-12-20,Medium"
"The promotional discount code wasn't applied to my order,Billing,2025-12-19,Medium"
"Video playback is constantly buffering and has poor quality,Technical,2025-12-18,Medium"
"The courier claimed delivery attempt but I was home all day,Shipping,2025-12-17,High"
"Agent promised to call back but never did - this is the third time,Customer Service,2025-12-16,High"
"The product arrived with missing parts and accessories,Product Quality,2025-12-15,High"
"My account was locked after multiple failed login attempts - now I'm locked out,Account,2025-12-14,High"
"I was charged foreign transaction fees on a domestic purchase,Billing,2025-12-13,Medium"
"The mobile app drains my phone battery extremely fast,Technical,2025-12-12,Medium"
"International shipping took 3 weeks instead of the promised 5-7 days,Shipping,2025-12-11,High"
"Support representative couldn't answer basic questions about the product,Customer Service,2025-12-10,Medium"
"The screen has dead pixels right out of the box,Product Quality,2025-12-09,High"
"Can't access my purchase history or download past invoices,Account,2025-12-08,Medium"
"The automatic renewal was not disclosed during purchase,Billing,2025-12-07,High"
"Your website is not mobile-friendly and buttons don't work on phone,Technical,2025-12-06,Medium"
"The gift I ordered arrived after the occasion - completely useless now,Shipping,2025-12-05,High"
"I was transferred between 5 different departments without resolution,Customer Service,2025-12-04,High"
"The product emits a strange burning smell when plugged in,Product Quality,2025-12-03,High"
"Privacy settings reset to default after every app update,Account,2025-12-02,Medium"
"The student discount was not applied even though I verified my status,Billing,2025-12-01,Medium"
"Push notifications don't work even though they're enabled in settings,Technical,2025-11-30,Low"
"The return shipping label you provided doesn't work or is expired,Shipping,2025-11-29,High"
"Supervisor was unavailable and never called back as promised,Customer Service,2025-11-28,High"
"The product doesn't match the description or photos on your website,Product Quality,2025-11-27,Medium"
